id,title,published_date,address,category,meters,floor,rooms,price
22240968,"VILLA CONTEMPORAINE AVEC PISCINE, VUE IMPRENABLE SUR LE LAC ET LES ...",2019-10-18,Morges | 1110 Morges,Villa,375,,7.5,9900.0
22239449,Appartement 2 1/2 pièces 3ième étages,2019-10-18,Chemin de la Burtignière 4 | 1110 Morges,Apartment,50,Floor 3,2.5,1590.0
22237351,Spacieux duplex au bord du lac de Morges - objet rare,2019-10-17,1110 Morges,Apartment,180,Floor 2,4.5,4900.0
22231395,Appartement de 3.5 pièces au 1er étage,2019-10-17,Chemin de la Brume 4 | 1110 Morges,Apartment,65,Floor 1,3.5,1680.0
22379675,Morges - 2.5p proche de la gare et des commodités.,2019-10-17,Chemin des Uttins 12bis | 1110 Morges,Apartment,51,,2.5,1650.0
22271476,Appartement de 4 pièces,2019-10-15,rue St. Louis 7 | 1110 Morges,Apartment,85,,,2000.0
22343587,Morges : Superbe Tea-room à remettre,2019-10-11,1110 Morges,Commercial property,,,,3000.0
22190431,"1, 2 ou 3 Bureaux avec salle de réunion",2019-10-10,La Gottaz | 1110 Morges,Commercial property,,,3.0,1600.0
22188527,EXCELLENT PRICED 3 bedroom/bathroom in center of Morges,2019-10-10,Grand Rue 15 | 1110 Morges,Apartment,,Floor 2,5.5,2470.0
22189558,Dans joli petit immeuble contemporain,2019-10-10,Ch. du Buvelot 5b | 1110 Morges,Apartment,115,Floor 2,4.5,2450.0
22188525,Appartement,2019-10-10,Rue de la Gare 27 | 1110 Morges,Apartment,97,Floor 3,3.5,2160.0
22182243,Appartement de 4 pièces entiérement repeint avec une belle vue sur ...,2019-10-09,Avenue de la Vogéaz 8 | 1110 Morges,Apartment,,Floor 3,4.0,2010.0
22176830,PREMIER LOYER OFFERT ! Appartement proche du lac à Morges !,2019-10-08,Avenue Paderewski 26 B | 1110 Morges,Apartment,99,Floor 4,3.5,2820.0
22171492,Appartement,2019-10-08,Rue de la Gare 29 | 1110 Morges,Attic apartment,115,Floor 3,4.5,2490.0
22166548,Rue de Lausanne 11 - Morges,2019-10-07,1110 Morges,Apartment,72,Ground floor,2.0,1870.0
22159777,"Maison individuelle sans nuisance, vue et cachet et locaux",2019-10-05,Senarclens | 1110 Morges,Single-family house,200,,10.0,3950.0
22154171,Rénové - proche de toutes commodités,2019-10-04,Les Vergers de la Gottaz 15C | 1110 Morges,Apartment,100,Floor 1,4.5,2270.0
22152584,Appartement meublé à louer directement au propriétaire,2019-10-04,Chemin de la grosse pierre  7 | 1110 Morges,Apartment,100,,3.0,2400.0
22148114,appartement de 2.5 pièces au centre ville de Morges,2019-10-04,Grand-Rue 41 | 1110 Morges,Apartment,60,Floor 3,2.5,1550.0
22146989,Surface administrative à louer de 135 m2,2019-10-03,Rue de Lausanne 35D | 1110 Morges,Commercial property,,Ground floor,,3590.0
22140466,A LOUER  5.5 PIECES  MORGES,2019-10-02,Grosse-Pierre 9 | 1110 Morges,Apartment,,Floor 9,5.5,2550.0
22139230,Superbe 4.5 pièces proches des commerces à Morges !,2019-10-02,Avenue Paderewski 26 A | 1110 Morges,Apartment,106,Floor 1,4.5,3135.0
22130077,Vaud : Restaurant Pizzéria à remettre,2019-10-01,1110 Morges,Commercial property,,,,3500.0
